"author"	"title"	"firstpub"	"docid"
"Conrad, Joseph"	"The secret Agent"	1907	"uc2.ark+=13960=t24b3010m"
"Conrad, Joseph"	"Heart of Darkness"	1899	"mdp.39015032425400"
"Dickens, Charles"	"Hard Times"	1854	"mdp.39015053037415"
"Brontë, Charlotte"	"Jane Eyre"	1847	"mdp.39015039284107"
"Austen, Jane"	"Pride and Prejudice"	1813	"nyp.33433074943634"
"Hardy, Thomas"	"Jude the Obscure"	1895	"mdp.39015013406494"
"Ford, Ford Madox"	"The Good Soldier"	1915	"mdp.39015000666704"
"Shelley, Mary"	"Frankenstein"	1818	"mdp.39015004200997"
"Austen, Jane"	"Emma"	1815	"inu.39000003999138"
"Gaskell, Elizabeth"	"Mary Barton"	1848	"uiuo.ark+=13960=t9z03hc07"
"Wells, H G"	"The Time Machine"	1895	"dul1.ark+=13960=t98637h6g"
"Woolf, Virginia"	"Jacob's Room"	1922	"mdp.39076006766344"
"Joyce, James"	"Portrait of the Artist as a Young Man"	1916	"nyp.33433074863766"
"Wilde, Oscar"	"The Picture of Dorian Gray"	1891	"uc1.$b808697"
"Hardy, Thomas"	"The Return of the Native"	1878	"mdp.39015008981394"
"Gaskell, Elizabeth"	"North and South"	1855	"nyp.33433074857362"
"Austen, Jane"	"Northanger Abbey"	1817	"uiuo.ark+=13960=t4km00443"
"Austen, Jane"	"Northanger Abbey"	1817	"uiuo.ark+=13960=t2b85z60c"
"Stevenson, Robert Louis"	"The Strange Case of Dr Jekyll and Mr Hyde"	1886	"pst.000029727483"
"Brontë, Emily"	"Wuthering Heights"	1847	"mdp.39015066049357"
"Kipling, Rudyard"	"Kim"	1901	"mdp.49015001293563"
"Hardy, Thomas"	"The Mayor of Casterbridge"	1886	"uiuo.ark+=13960=t9d51bd9z"
"Eliot, George"	"Middlemarch"	1871	"uiuo.ark+=13960=t8hd8j356"
"Eliot, George"	"Middlemarch"	1871	"uiuo.ark+=13960=t1fj3570z"
"Eliot, George"	"Middlemarch"	1871	"uiuo.ark+=13960=t50g4c509"
"Eliot, George"	"Middlemarch"	1871	"uiuo.ark+=13960=t0ks7cx66"
"Dickens, Charles"	"Great Expectations"	1861	"uc1.32106011757181"
"Rhys, Jean"	"Wide Sargasso Sea"	1966	"mdp.39015077123803"
"Austen, Jane"	"Mansfield Park"	1817	"hvd.hwiwh6"
"Austen, Jane"	"Sense and Sensibility"	1811	"uc1.32106001921466"
"Forster, E. M."	"Howard's End"	1910	"pst.000029721290"
"Stoker, Bram"	"Dracula"	1897	"mdp.39015035307506"
"Conrad, Joseph"	"Lord Jim"	1899	"mdp.39015005083392"
"Thackeray, William"	"Vanity Fair"	1848	"ucm.5324200950"
"Eliot, George"	"The Mill on the Floss"	1860	"mdp.39015063920931"
"Dickens, Charles"	"Oliver Twist"	1838	"nyp.33433074954169"
"Hardy, Thomas"	"Tess of the D'Urbervilles"	1891	"mdp.39015066447593"
"Dickens, Charles"	"David Copperfield"	1850	"njp.32101058459064"
"Hardy, Thomas"	"Far from the Madding Crowd"	1874	"uiuo.ark+=13960=t44q8kt63"
"Meredith, George"	"The Egoist"	1879	"uc2.ark+=13960=t5q819r7s"
"Dickens, Charles"	"Bleak House"	1853	"uiuo.ark+=13960=t2c830k3q"
"Burgess, Anthony"	"A Clockwork Orange"	1962	"mdp.39015043053274"
"Joyce, James"	"Dubliners"	1914	"mdp.49015001482257"
"Mansfield, Katherine"	"In a German Pension"	1911	"uc2.ark+=13960=t0wp9wh4k"
"Lessing, Doris"	"The Grass is Singing"	1950	"mdp.39015063164399"
"Coetzee, John"	"Dusklands"	1974	"mdp.39076002495609"
"Achebe, Chinua"	"Things Fall Apart"	1958	"mdp.39015049725784"
"Lawrence, D H"	"Lady Chatterley's Lover"	1928	"inu.30000003130071"
"Lawrence, D H"	"Women in Love"	1920	"inu.30000007661410"
"Gordimer, Nadine"	"A World of Strangers"	1958	"inu.30000005374982"
"Ngugi wa Thiong'o"	"Weep Not, Child"	1964	"pst.000043989492"
"Rushdie, Salman"	"Midnight's Children"	1981	"mdp.39015020732668"
"Woolf, Virginia"	"Mrs Dalloway"	1925	"mdp.39015013962207"
